mouse_id,day,a,b,V0,V_true,V_obs
1,0,1.3,0.09,54.96714153011233,54.96714153011233,51.81248736142338
1,7,1.3,0.09,54.96714153011233,193.22581920883934,188.51551829096812
1,14,1.3,0.09,54.96714153011233,459.8156605422523,457.0756814485466
1,21,1.3,0.09,54.96714153011233,779.1420311763869,778.071279622831
1,28,1.3,0.09,54.96714153011233,1106.7537556467655,1110.9395280784224
1,35,1.3,0.09,54.96714153011233,1346.196545682016,1344.5907504884874
1,42,1.3,0.09,54.96714153011233,1477.3396381646453,1469.4115096307974
1,49,1.3,0.09,54.96714153011233,1526.1428476163105,1531.8431868487862
1,56,1.3,0.09,54.96714153011233,1722.4436993706306,1718.2582487025554
2,0,1.3,0.09,49.41279572895371,49.41279572895371,53.35051235058803
2,7,1.3,0.09,49.41279572895371,175.2477550122577,172.01511261487514
2,14,1.3,0.09,49.41279572895371,392.4161493018553,396.6500048468965
2,21,1.3,0.09,49.41279572895371,648.843553024184,648.9385484354833
2,28,1.3,0.09,49.41279572895371,1006.4258196580448,1003.8195456237642
2,35,1.3,0.09,49.41279572895371,1263.920906804506,1267.0129428832267
2,42,1.3,0.09,49.41279572895371,1449.2922615192194,1445.6549918956039
2,49,1.3,0.09,49.41279572895371,1546.3815462700059,1549.572466473647
2,56,1.3,0.09,49.41279572895371,1735.0482814275015,1736.1119120334604
3,0,1.3,0.09,44.03675310908079,44.03675310908079,54.61560715689571
3,7,1.3,0.09,44.03675310908079,180.5383935140687,177.99166803241516
3,14,1.3,0.09,44.03675310908079,412.03734501168117,413.0112150398215
3,21,1.3,0.09,44.03675310908079,710.4330412551847,714.9662831842311
3,28,1.3,0.09,44.03675310908079,1014.6390883347151,1016.0405447945446
3,35,1.3,0.09,44.03675310908079,1373.352398965507,1374.8148199052187
3,42,1.3,0.09,44.03675310908079,1660.545309033449,1658.7332968650087
3,49,1.3,0.09,44.03675310908079,1948.6348051614873,1947.475415286181
3,56,1.3,0.09,44.03675310908079,2303.6657641561587,2298.8657115452197
4,0,1.3,0.09,58.46045008889408,58.46045008889408,55.83214850267481
4,7,1.3,0.09,58.46045008889408,204.1582497751907,205.55373646129843
4,14,1.3,0.09,58.46045008889408,429.09149374319753,418.29366035498424
4,21,1.3,0.09,58.46045008889408,709.7715548637941,710.196905290731
4,28,1.3,0.09,58.46045008889408,893.7930324098297,894.5829292733561
4,35,1.3,0.09,58.46045008889408,1228.073419962785,1222.155960550906
4,42,1.3,0.09,58.46045008889408,1516.022395267537,1517.3756196988368
4,49,1.3,0.09,58.46045008889408,1584.8248080435571,1584.8621272391822
4,56,1.3,0.09,58.46045008889408,1826.3662190087844,1820.4097484793592
5,0,1.3,0.09,59.19560546862825,59.19560546862825,58.83704788675121
5,7,1.3,0.09,59.19560546862825,191.4401936094684,187.35249796858906
5,14,1.3,0.09,59.19560546862825,383.29072674431467,382.97562555282235
5,21,1.3,0.09,59.19560546862825,724.856835254628,720.5759284570611
5,28,1.3,0.09,59.19560546862825,1046.7782235715981,1047.3181280171805
5,35,1.3,0.09,59.19560546862825,1254.302956418502,1259.287645022511
5,42,1.3,0.09,59.19560546862825,1471.3332725829116,1465.45838112155
5,49,1.3,0.09,59.19560546862825,1489.5432704028133,1481.8814153956027
5,56,1.3,0.09,59.19560546862825,1677.6095127232084,1677.8557624028067
6,0,1.3,0.09,42.32200383256094,42.32200383256094,45.29982074149516
6,7,1.3,0.09,42.32200383256094,185.90834911723604,181.88518413854652
6,14,1.3,0.09,42.32200383256094,403.2408379861377,409.4846960789376
6,21,1.3,0.09,42.32200383256094,583.0666985204255,583.1076706834647
6,28,1.3,0.09,42.32200383256094,843.4805542212987,841.10921011999
6,35,1.3,0.09,42.32200383256094,1272.8533663980056,1260.7696981472777
6,42,1.3,0.09,42.32200383256094,1432.28247152155,1438.3940607696895
6,49,1.3,0.09,42.32200383256094,1463.2221131639167,1464.689747327143
6,56,1.3,0.09,42.32200383256094,1525.7023728893557,1523.4613992952688
7,0,1.3,0.09,41.09708612419797,41.09708612419797,46.676758231868604
7,7,1.3,0.09,41.09708612419797,175.2132802392103,186.39970216321808
7,14,1.3,0.09,41.09708612419797,365.3493641324396,367.97730580963713
7,21,1.3,0.09,41.09708612419797,525.5875569869507,530.5063434560016
7,28,1.3,0.09,41.09708612419797,869.6681657315456,866.4326830743961
7,35,1.3,0.09,41.09708612419797,1124.6034438694803,1122.0849096834966
7,42,1.3,0.09,41.09708612419797,1611.6344128244389,1610.5868647491443
7,49,1.3,0.09,41.09708612419797,1990.6657392768343,1988.6534926956112
7,56,1.3,0.09,41.09708612419797,2245.930230385213,2239.3711108562884
8,0,1.3,0.09,48.27338619141744,48.27338619141744,42.82079125456286
8,7,1.3,0.09,48.27338619141744,189.85345049665793,187.98733874307473
8,14,1.3,0.09,48.27338619141744,405.3829094626168,403.95650956117237
8,21,1.3,0.09,48.27338619141744,712.776492323601,720.5584877769596
8,28,1.3,0.09,48.27338619141744,1007.4450336486707,1013.4093347408218
8,35,1.3,0.09,48.27338619141744,1264.4492455177005,1256.7656695374344
8,42,1.3,0.09,48.27338619141744,1557.3093614997968,1565.2334827888897
8,49,1.3,0.09,48.27338619141744,1655.8055754507445,1649.724819353945
8,56,1.3,0.09,48.27338619141744,1703.1260340585998,1703.9274890957502
